CustomerID,Recency,Frequency,Monetary,F_Score,R_Score,M_Score,RFM_Score,RFM_Segment
12421,16,4,807.04,3,4,3,433,Loyal
12422,96,3,803.5600000000001,3,2,3,233,Others
12423,1,8,1859.31,4,4,4,444,Champions
12424,163,2,1760.96,3,1,4,134,At-Risk
12425,78,1,777.2,2,2,3,223,Others
12426,195,1,582.73,2,1,3,123,At-Risk
12427,22,3,825.8,3,3,3,333,Potential Loyalist
12428,26,9,7956.46,4,3,4,344,Potential Loyalist
12429,9,4,3750.4,3,4,4,434,Loyal
12430,43,1,256.4,2,3,2,322,Others
12431,36,15,6419.95,4,3,4,344,Potential Loyalist
12432,43,5,5059.32,4,3,4,344,Potential Loyalist
12433,1,7,13375.87,4,4,4,444,Champions
12434,85,2,806.14,3,2,3,233,Others
12435,80,2,7829.89,3,2,4,234,Others
12436,100,1,509.01,2,2,3,223,Others
12437,2,18,4951.41,4,4,4,444,Champions
12438,14,2,2906.85,3,4,4,434,Loyal
12441,367,1,173.55,2,1,2,122,Others
12442,3,1,172.06,2,4,2,422,Others
12444,21,5,5005.46,4,3,4,344,Potential Loyalist
12445,22,1,133.4,2,3,2,322,Others
12446,58,1,1002.31,2,2,3,223,Others
12447,243,1,476.49,2,1,2,122,Others
12448,44,1,449.45,2,3,2,322,Others
12449,22,4,4067.29,3,3,4,334,Potential Loyalist
12450,156,2,197.88,3,1,2,132,Others
12451,11,5,9035.52,4,4,4,444,Champions
12452,17,2,430.57,3,4,2,432,Loyal
12453,134,1,707.09,2,2,3,223,Others
12454,56,1,3528.34,2,2,4,224,Others
12455,73,6,2466.86,4,2,4,244,Others
12456,44,3,3181.04,3,3,4,334,Potential Loyalist
12457,66,7,2363.23,4,2,4,244,Others
12458,71,2,947.4,3,2,3,233,Others
12461,94,2,826.88,3,2,3,233,Others
12462,19,2,1189.59,3,3,3,333,Potential Loyalist
12463,53,4,1344.78,3,2,3,233,Others
12464,10,8,1212.05,4,4,3,443,Loyal
12465,17,2,742.1899999999999,3,4,3,433,Loyal
12468,188,2,729.54,3,1,3,133,At-Risk
12471,2,30,19788.65,4,4,4,444,Champions
12472,32,7,6572.11,4,3,4,344,Potential Loyalist
12473,29,5,3928.05,4,3,4,344,Potential Loyalist
12474,17,18,7324.09,4,4,4,444,Champions
12475,54,1,723.38,2,2,3,223,Others
12476,16,11,6816.42,4,4,4,444,Champions
12477,23,6,13219.74,4,3,4,344,Potential Loyalist
12478,4,1,680.99,2,4,3,423,Others
12479,11,1,527.2,2,4,3,423,Others
12480,28,4,3281.63,3,3,4,334,Potential Loyalist
12481,23,10,5579.82,4,3,4,344,Potential Loyalist
12483,17,8,2484.98,4,4,4,444,Champions
12484,33,6,4527.32,4,3,4,344,Potential Loyalist
12488,10,3,1298.66,3,4,3,433,Loyal
12489,336,1,334.93,2,1,2,122,Others
12490,5,10,5417.93,4,4,4,444,Champions
12491,39,1,460.4,2,3,2,322,Others
12492,63,2,263.21000000000004,3,2,2,232,Others
12493,166,2,433.74,3,1,2,132,Others
12494,16,7,1246.1,4,4,3,443,Loyal
12497,82,1,1043.1,2,2,3,223,Others
12498,21,3,403.7000000000001,3,3,2,332,Potential Loyalist
12500,23,11,4257.82,4,3,4,344,Potential Loyalist
12501,337,1,2169.39,2,1,4,124,At-Risk
12502,96,5,3723.87,4,2,4,244,Others
12504,18,2,482.0499999999999,3,4,2,432,Loyal
12506,233,1,73.5,2,1,1,121,Others
12507,134,3,1304.81,3,2,3,233,Others
12508,26,2,397.88,3,3,2,332,Potential Loyalist
12509,284,1,176.5,2,1,2,122,Others
12510,143,2,982.57,3,1,3,133,At-Risk
12512,66,2,132.18,3,2,2,232,Others
12513,113,1,612.29,2,2,3,223,Others
12514,267,1,1017.68,2,1,3,123,At-Risk
12515,353,1,383.7,2,1,2,122,Others
12516,78,2,1312.06,3,2,3,233,Others
12517,28,5,2481.6,4,3,4,344,Potential Loyalist
12518,1,5,2056.89,4,4,4,444,Champions
12519,64,1,330.84000000000003,2,2,2,222,Others
12520,79,5,2634.26,4,2,4,244,Others
12521,143,1,599.68,2,1,3,123,At-Risk
12522,39,2,192.72,3,3,2,332,Potential Loyalist
12523,19,11,1789.77,4,3,4,344,Potential Loyalist
12524,9,8,4485.72,4,4,4,444,Champions
12526,1,3,1316.66,3,4,3,433,Loyal
12527,82,3,348.71000000000004,3,2,2,232,Others
12528,9,6,1933.48,4,4,4,444,Champions
12530,60,4,1662.28,3,2,4,234,Others
12531,15,1,125.22,2,4,2,422,Others
12532,30,1,349.83000000000004,2,3,2,322,Others
12534,131,1,1089.18,2,2,3,223,Others
12535,92,2,716.35,3,2,3,233,Others
12536,43,3,12601.830000000002,3,3,4,334,Potential Loyalist
12538,29,1,363.95,2,3,2,322,Others
12539,22,4,5568.35,3,3,4,334,Potential Loyalist
12540,20,17,13400.24,4,3,4,344,Potential Loyalist
12541,30,3,981.18,3,3,3,333,Potential Loyalist
12544,36,1,372.7,2,3,2,322,Others
12545,75,2,1000.39,3,2,3,233,Others
12546,47,2,1161.5,3,3,3,333,Potential Loyalist
12547,198,2,207.8,3,1,2,132,Others
12548,166,1,95.2,2,1,1,121,Others
12550,79,1,964.83,2,2,3,223,Others
12551,358,1,168.0,2,1,2,122,Others
12552,39,2,437.82,3,3,2,332,Potential Loyalist
12553,8,10,3692.28,4,4,4,444,Champions
12556,50,2,599.56,3,3,3,333,Potential Loyalist
12557,16,5,11990.96,4,4,4,444,Champions
12558,8,1,269.96,2,4,2,422,Others
12559,311,2,561.71,3,1,3,133,At-Risk
12560,5,3,2134.01,3,4,4,434,Loyal
12561,303,1,238.85,2,1,2,122,Others
12562,8,7,3781.74,4,4,4,444,Champions
12564,261,1,456.9,2,1,2,122,Others
12565,289,1,145.92,2,1,2,122,Others
12566,86,1,351.65,2,2,2,222,Others
12567,23,10,9401.28,4,3,4,344,Potential Loyalist
12569,2,32,4124.69,4,4,4,444,Champions
12571,40,2,519.61,3,3,3,333,Potential Loyalist
12572,9,2,1020.42,3,4,3,433,Loyal
12573,227,1,160.54000000000002,2,1,2,122,Others
12574,316,1,218.45,2,1,2,122,Others
12576,36,5,1315.83,4,3,3,343,Potential Loyalist
12577,35,3,626.6,3,3,3,333,Potential Loyalist
12578,21,2,2794.51,3,3,4,334,Potential Loyalist
12579,78,1,440.42,2,2,2,222,Others
12580,247,1,415.7,2,1,2,122,Others
12581,40,1,197.71,2,3,2,322,Others
12582,239,2,511.36,3,1,3,133,At-Risk
12583,3,15,7281.38,4,4,4,444,Champions
12584,4,9,2338.15,4,4,4,444,Champions
12585,234,2,2040.1,3,1,4,134,At-Risk
12586,17,1,196.94000000000003,2,4,2,422,Others
12587,8,1,144.0,2,4,2,422,Others
12588,39,1,214.9,2,3,2,322,Others
12589,29,2,646.68,3,3,3,333,Potential Loyalist
12590,211,2,9864.26,3,1,4,134,At-Risk
12591,317,1,452.85,2,1,2,122,Others
12592,92,2,437.6,3,2,2,232,Others
12593,109,3,418.1,3,2,2,232,Others
12594,38,10,3338.2200000000003,4,3,4,344,Potential Loyalist
12596,51,2,618.27,3,3,3,333,Potential Loyalist
12597,19,4,3811.22,3,3,4,334,Potential Loyalist
12598,10,8,3023.08,4,4,4,444,Champions
12599,29,7,1032.58,4,3,3,343,Potential Loyalist
12600,29,10,2599.04,4,3,4,344,Potential Loyalist
12601,190,5,577.0600000000001,4,1,3,143,At-Risk
12602,59,1,153.12,2,2,2,222,Others
12603,22,1,739.1999999999999,2,3,3,323,Others
12604,79,2,254.18,3,2,2,232,Others
12607,60,1,1579.51,2,2,4,224,Others
12609,78,3,1126.85,3,2,3,233,Others
12610,23,5,2099.54,4,3,4,344,Potential Loyalist
12611,52,1,1193.32,2,2,3,223,Others
12612,74,1,704.04,2,2,3,223,Others
12613,57,5,3344.38,4,2,4,244,Others
12614,278,1,315.6,2,1,2,122,Others
12615,2,4,2291.19,3,4,4,434,Loyal
12616,95,2,713.3,3,2,3,233,Others
12617,29,1,352.98,2,3,2,322,Others
12618,22,1,177.31,2,3,2,322,Others
12619,16,9,3641.24,4,4,4,444,Champions
12620,15,3,1339.41,3,4,3,433,Loyal
12621,2,20,13689.67,4,4,4,444,Champions
12622,232,1,180.1,2,1,2,122,Others
12623,276,1,305.1,2,1,2,122,Others
12624,106,2,641.13,3,2,3,233,Others
12625,212,2,2683.82,3,1,4,134,At-Risk
12626,23,9,6620.48,4,3,4,344,Potential Loyalist
12627,11,7,4478.53,4,4,4,444,Champions
12628,4,3,786.46,3,4,3,433,Loyal
12630,10,2,1270.88,3,4,3,433,Loyal
12631,57,1,640.5,2,2,3,223,Others
12633,59,4,2163.98,3,2,4,234,Others
12635,90,2,1689.18,3,2,4,234,Others
12637,67,8,6002.9,4,2,4,244,Others
12638,33,1,671.69,2,3,3,323,Others
12639,239,1,486.1,2,1,2,122,Others
12640,24,3,1174.58,3,3,3,333,Potential Loyalist
12641,115,1,185.9,2,2,2,222,Others
12642,25,3,1013.26,3,3,3,333,Potential Loyalist
12643,128,6,3344.64,4,2,4,244,Others
12644,130,1,477.91,2,2,2,222,Others
12645,34,4,1775.18,3,3,4,334,Potential Loyalist
12646,5,2,1346.97,3,4,3,433,Loyal
12647,22,12,3722.82,4,3,4,344,Potential Loyalist
12648,155,1,318.05,2,1,2,122,Others
12649,107,3,623.51,3,2,3,233,Others
12650,3,1,314.44,2,4,2,422,Others
12651,335,1,114.0,2,1,2,122,Others
12652,331,1,919.98,2,1,3,123,At-Risk
12653,149,2,2209.85,3,1,4,134,At-Risk
12654,11,5,601.98,4,4,3,443,Loyal
12656,17,5,4051.17,4,4,4,444,Champions
12657,11,4,1643.18,3,4,4,434,Loyal
12658,19,1,686.05,2,3,3,323,Others
12659,30,1,91.68,2,3,1,321,Others
12660,11,1,245.1,2,4,2,422,Others
12662,1,11,3849.78,4,4,4,444,Champions
12664,8,9,4881.88,4,4,4,444,Champions
12665,325,1,63.0,2,1,1,121,Others
12667,58,1,620.13,2,2,3,223,Others
12668,12,4,3807.15,3,4,4,434,Loyal
12669,151,3,2744.0299999999997,3,1,4,134,At-Risk
12670,10,5,2996.05,4,4,4,444,Champions
12672,330,1,225.9,2,1,2,122,Others
12673,5,2,610.52,3,4,3,433,Loyal
12674,39,4,1970.6,3,3,4,334,Potential Loyalist
12676,25,6,1331.39,4,3,3,343,Potential Loyalist
12678,42,12,17628.46,4,3,4,344,Potential Loyalist
12679,59,4,1113.02,3,2,3,233,Others
12680,1,4,862.81,3,4,3,433,Loyal
12681,15,22,13787.54,4,4,4,444,Champions
12682,4,31,12279.82,4,4,4,444,Champions
12683,4,15,8476.57,4,4,4,444,Champions
12684,8,7,2283.63,4,4,4,444,Champions
12685,28,6,2863.08,4,3,4,344,Potential Loyalist
12686,372,1,89.14,2,1,1,121,Others
12688,114,1,4873.8099999999995,2,2,4,224,Others
12689,26,2,1247.61,3,3,3,333,Potential Loyalist
12690,206,1,389.01,2,1,2,122,Others
12691,28,6,1035.8,4,3,3,343,Potential Loyalist
12693,127,4,855.91,3,2,3,233,Others
12694,70,2,869.67,3,2,3,233,Others
12695,7,4,582.1,3,4,3,433,Loyal
12697,29,3,957.59,3,3,3,333,Potential Loyalist
12700,8,4,4939.99,3,4,4,434,Loyal
12701,80,2,797.71,3,2,3,233,Others
12702,20,1,219.0,2,3,2,322,Others
12703,71,1,283.55,2,2,2,222,Others
12704,7,8,2340.84,4,4,4,444,Champions
12705,15,9,6868.29,4,4,4,444,Champions
12707,292,1,603.42,2,1,3,123,At-Risk
12708,30,10,2712.91,4,3,4,344,Potential Loyalist
12709,15,15,9706.52,4,4,4,444,Champions
12710,97,3,1149.02,3,2,3,233,Others
12712,29,13,4396.13,4,3,4,344,Potential Loyalist
12713,1,1,848.55,2,4,3,423,Others
12714,9,5,4708.86,4,4,4,444,Champions
12715,106,1,343.36,2,2,2,222,Others
12716,4,2,1053.49,3,4,3,433,Loyal
12717,151,2,1030.98,3,1,3,133,At-Risk
12718,71,1,238.25,2,2,2,222,Others
12719,5,2,644.95,3,4,3,433,Loyal
12720,3,25,5781.73,4,4,4,444,Champions
12721,32,6,2656.13,4,3,4,344,Potential Loyalist
12722,85,4,997.63,3,2,3,233,Others
12723,4,5,725.07,4,4,3,443,Loyal
12724,5,4,1031.41,3,4,3,433,Loyal
12725,371,1,427.8,2,1,2,122,Others
12726,28,7,2609.1,4,3,4,344,Potential Loyalist
12727,11,7,3980.7,4,4,4,444,Champions
12728,71,4,836.33,3,2,3,233,Others
12729,114,1,453.01,2,2,2,222,Others
12731,24,12,18895.91,4,3,4,344,Potential Loyalist
12732,180,1,236.26,2,1,2,122,Others
12733,234,1,383.95,2,1,2,122,Others
12734,353,1,110.4,2,1,2,122,Others
12735,315,2,779.5699999999999,3,1,3,133,At-Risk
12736,333,1,234.0,2,1,2,122,Others
12738,372,1,155.35,2,1,2,122,Others
12739,78,2,1013.04,3,2,3,233,Others
12740,64,1,427.6,2,2,2,222,Others
12743,134,2,540.13,3,2,3,233,Others
12744,52,7,21279.29,4,2,4,244,Others
12747,2,11,4196.01,4,4,4,444,Champions
12748,1,210,33053.19,nan,4,4,4nan4,Others
12749,4,5,4090.88,4,4,4,444,Champions
12750,129,1,275.88,2,2,2,222,Others
12752,81,1,4366.78,2,2,4,224,Others
12753,23,6,21429.39,4,3,4,344,Potential Loyalist
12754,236,3,3010.74,3,1,4,134,At-Risk
12755,281,2,3811.95,3,1,4,134,At-Risk
12756,87,1,112.08,2,2,2,222,Others
12757,16,13,7834.650000000001,4,4,4,444,Champions
12758,117,2,2791.59,3,2,4,234,Others
12759,52,3,1531.44,3,2,4,234,Others
12762,8,2,1898.52,3,4,4,434,Loyal
12763,138,2,494.08,3,2,2,232,Others
12764,317,1,1693.88,2,1,4,124,At-Risk
12766,4,7,6989.63,4,4,4,444,Champions
12769,239,1,1143.6,2,1,3,123,At-Risk
12770,211,1,1351.45,2,1,3,123,At-Risk
12772,60,1,892.47,2,2,3,223,Others
12775,17,5,1386.04,4,4,3,443,Loyal
12778,20,6,822.23,4,3,3,343,Potential Loyalist
12779,38,8,3981.36,4,3,4,344,Potential Loyalist
12781,64,2,826.74,3,2,3,233,Others
12782,5,5,2330.92,4,4,4,444,Champions
12783,2,6,2225.91,4,4,4,444,Champions
12784,9,2,532.82,3,4,3,433,Loyal
12785,364,1,311.95,2,1,2,122,Others
12787,10,3,463.66,3,4,2,432,Loyal
12789,65,1,91.85,2,2,1,221,Others
12790,192,1,324.92,2,1,2,122,Others
12791,374,1,192.6,2,1,2,122,Others
12792,257,1,400.54,2,1,2,122,Others
12793,335,2,545.48,3,1,3,133,At-Risk
12794,53,2,860.41,3,2,3,233,Others
12795,19,1,430.48,2,3,2,322,Others
12797,366,1,254.03,2,1,2,122,Others
12798,10,3,6977.04,3,4,4,434,Loyal
12802,187,1,427.58,2,1,2,122,Others
12808,37,3,483.65,3,3,2,332,Potential Loyalist
12809,178,1,489.31,2,1,2,122,Others
12811,261,3,514.85,3,1,3,133,At-Risk
12812,45,1,229.64,2,3,2,322,Others
12814,102,1,125.92,2,2,2,222,Others
12815,148,2,1063.46,3,1,3,133,At-Risk
12816,96,2,572.2,3,2,3,233,Others
12817,281,1,166.04,2,1,2,122,Others
12818,262,1,1542.08,2,1,4,124,At-Risk
12820,3,4,942.34,3,4,3,433,Loyal
12821,214,1,92.72,2,1,1,121,Others
12822,71,2,948.88,3,2,3,233,Others
12823,75,5,1759.5,4,2,4,244,Others
12824,60,1,397.12,2,2,2,222,Others
12826,3,7,1474.72,4,4,3,443,Loyal
12827,6,3,430.15,3,4,2,432,Loyal
12828,3,6,1018.71,4,4,3,443,Loyal
12829,337,2,293.0,3,1,2,132,Others
12830,38,6,6814.64,4,3,4,344,Potential Loyalist
12831,262,1,215.05,2,1,2,122,Others
12832,32,2,383.03,3,3,2,332,Potential Loyalist
12833,145,1,417.38,2,1,2,122,Others
12834,283,1,312.38,2,1,2,122,Others
12836,59,4,2610.36,3,2,4,234,Others
12837,173,1,134.1,2,1,2,122,Others
12838,34,2,671.95,3,3,3,333,Potential Loyalist
12839,3,14,5591.42,4,4,4,444,Champions
12840,144,4,2726.77,3,1,4,134,At-Risk
12841,5,25,3991.58,4,4,4,444,Champions
12842,70,2,1118.99,3,2,3,233,Others
12843,66,8,1702.26,4,2,4,244,Others
12844,29,2,325.96000000000004,3,3,2,332,Potential Loyalist
12845,267,4,354.09000000000003,3,1,2,132,Others
12847,22,1,843.64,2,3,3,323,Others
12849,31,2,1010.29,3,3,3,333,Potential Loyalist
12851,97,1,131.81,2,2,2,222,Others
12852,295,1,311.55,2,1,2,122,Others
12853,135,6,1957.1,4,2,4,244,Others
12854,79,3,1316.25,3,2,3,233,Others
12855,373,1,38.1,2,1,1,121,Others
12856,8,6,2170.78,4,4,4,444,Champions
12857,211,2,1106.4,3,1,3,133,At-Risk
12863,52,1,521.2,2,2,3,223,Others
12864,138,1,147.12,2,2,2,222,Others
12865,26,2,1568.23,3,3,4,334,Potential Loyalist
12866,283,1,559.12,2,1,3,123,At-Risk
12867,26,7,4009.34,4,3,4,344,Potential Loyalist
12868,186,6,1607.0600000000002,4,1,4,144,At-Risk
12871,84,2,380.64,3,2,2,232,Others
12872,327,2,599.97,3,1,3,133,At-Risk
12873,282,1,374.0,2,1,2,122,Others
12875,143,2,343.2300000000001,3,1,2,132,Others
12876,58,2,2218.02,3,2,4,234,Others
12877,4,12,1535.77,4,4,4,444,Champions
12878,236,2,854.99,3,1,3,133,At-Risk
12879,45,3,573.22,3,3,3,333,Potential Loyalist
12881,276,1,298.0,2,1,2,122,Others
12882,9,2,1463.04,3,4,3,433,Loyal
12883,25,4,703.47,3,3,3,333,Potential Loyalist
12884,88,1,309.05,2,2,2,222,Others
12885,63,3,1175.22,3,2,3,233,Others
12886,68,2,1378.4,3,2,3,233,Others
12888,214,2,354.12,3,1,2,132,Others
12890,24,1,376.72,2,3,2,322,Others
12891,186,3,331.0,3,1,2,132,Others
12893,31,1,176.55,2,3,2,322,Others
12895,42,2,372.8,3,3,2,332,Potential Loyalist
12897,205,2,216.5,3,1,2,132,Others
12901,9,28,17654.54,4,4,4,444,Champions
12902,265,1,138.68,2,1,2,122,Others
12904,18,2,496.06,3,4,2,432,Loyal
12906,12,5,2919.81,4,4,4,444,Champions
12908,176,2,750.0,3,1,3,133,At-Risk
12909,40,5,2178.67,4,3,4,344,Potential Loyalist
12910,23,8,3075.04,4,3,4,344,Potential Loyalist
12912,3,5,1662.3,4,4,4,444,Champions
12913,5,5,2483.63,4,4,4,444,Champions
12915,149,2,363.65,3,1,2,132,Others
12916,139,4,2944.95,3,2,4,234,Others
12917,128,1,594.0,2,2,3,223,Others
12919,8,6,1335.19,4,4,3,443,Loyal
12920,17,1,162.78,2,4,2,422,Others
12921,9,37,16587.09,4,4,4,444,Champions
12922,161,1,405.38,2,1,2,122,Others
12923,64,1,172.82,2,2,2,222,Others
12924,88,4,933.7,3,2,3,233,Others
12925,5,2,694.05,3,4,3,433,Loyal
12928,35,5,2062.7,4,3,4,344,Potential Loyalist
12929,312,1,117.85,2,1,2,122,Others
12930,78,2,415.8,3,2,2,232,Others
12931,22,15,42055.96,4,3,4,344,Potential Loyalist
12933,24,3,607.53,3,3,3,333,Potential Loyalist
12935,2,7,2160.7,4,4,4,444,Champions
12936,17,4,1063.9,3,4,3,433,Loyal
12937,15,4,1504.27,3,4,4,434,Loyal
12938,26,1,114.14,2,3,2,322,Others
12939,64,8,11581.8,4,2,4,244,Others
12940,55,2,899.69,3,2,3,233,Others
12942,131,3,675.6,3,2,3,233,Others
12944,36,2,604.51,3,3,3,333,Potential Loyalist
12945,288,1,462.95,2,1,2,122,Others
12947,144,6,1603.99,4,1,4,144,At-Risk
12948,16,7,2064.95,4,4,4,444,Champions
12949,31,8,4167.22,4,3,4,344,Potential Loyalist
12950,2,3,1843.0,3,4,4,434,Loyal
12951,9,6,1064.07,4,4,3,443,Loyal
12952,6,4,1387.79,3,4,3,433,Loyal
12953,10,1,329.85,2,4,2,422,Others
12955,1,11,4757.16,4,4,4,444,Champions
12956,306,1,108.07,2,1,2,122,Others
12957,10,8,4017.54,4,4,4,444,Champions
12962,7,2,266.39,3,4,2,432,Loyal
12963,8,8,1856.63,4,4,4,444,Champions
12965,89,1,769.8100000000001,2,2,3,223,Others
12966,10,1,160.18,2,4,2,422,Others
12967,358,2,1660.9,3,1,4,134,At-Risk
12968,112,1,135.95,2,2,2,222,Others
12970,7,4,405.47,3,4,2,432,Loyal
12971,4,86,11189.91,4,4,4,444,Champions
12974,198,1,144.8,2,1,2,122,Others
12976,212,1,738.6,2,1,3,123,At-Risk
12977,156,1,39.239999999999995,2,1,1,121,Others
12980,158,9,7374.900000000001,4,1,4,144,At-Risk
12981,30,2,372.22,3,3,2,332,Potential Loyalist
12982,243,1,390.54,2,1,2,122,Others
12984,19,1,97.5,2,3,1,321,Others
12985,1,2,1239.38,3,4,3,433,Loyal
12987,74,2,558.7,3,2,3,233,Others
12988,292,1,505.82,2,1,3,123,At-Risk
12989,3,15,6924.11,4,4,4,444,Champions
12990,31,3,409.5,3,3,2,332,Potential Loyalist
12991,23,2,503.76,3,3,3,333,Potential Loyalist
12993,23,4,414.76,3,3,2,332,Potential Loyalist
12994,4,3,974.42,3,4,3,433,Loyal
12995,85,1,211.32,2,2,2,222,Others
12997,22,4,1226.89,3,3,3,333,Potential Loyalist
12999,196,3,455.88,3,1,2,132,Others
13000,107,3,534.85,3,2,3,233,Others
13001,4,13,9785.97,4,4,4,444,Champions
13002,318,1,120.95,2,1,2,122,Others
13003,106,3,149.05,3,2,2,232,Others
13004,12,18,5655.91,4,4,4,444,Champions
13005,174,2,513.7,3,1,3,133,At-Risk
13006,56,1,81.57,2,2,1,221,Others
13008,323,1,229.46999999999997,2,1,2,122,Others
13011,372,1,50.55,2,1,1,121,Others
13012,9,8,1646.84,4,4,4,444,Champions
13013,1,13,4810.9400000000005,4,4,4,444,Champions
13014,11,10,3466.2799999999997,4,4,4,444,Champions
13015,53,5,3339.64,4,2,4,244,Others
13016,73,3,789.89,3,2,3,233,Others
13017,7,1,204.0,2,4,2,422,Others
13018,16,28,7277.7,4,4,4,444,Champions
13021,4,9,2616.38,4,4,4,444,Champions
13023,64,2,689.9,3,2,3,233,Others
13026,1,5,975.36,4,4,3,443,Loyal
13027,114,6,6912.0,4,2,4,244,Others
13028,23,2,661.3199999999999,3,3,3,333,Potential Loyalist
13029,31,3,1247.5,3,3,3,333,Potential Loyalist
13030,11,2,752.4399999999999,3,4,3,433,Loyal
13032,52,2,1010.18,3,2,3,233,Others
13033,357,1,190.55,2,1,2,122,Others
13034,55,2,642.77,3,2,3,233,Others
13035,74,2,921.88,3,2,3,233,Others
13037,138,3,881.07,3,2,3,233,Others
13038,80,3,908.46,3,2,3,233,Others
13040,9,2,676.99,3,4,3,433,Loyal
13043,273,1,516.42,2,1,3,123,At-Risk
13044,291,1,560.47,2,1,3,123,At-Risk
13045,99,1,305.28,2,2,2,222,Others
13046,31,2,629.31,3,3,3,333,Potential Loyalist
13047,32,10,3237.54,4,3,4,344,Potential Loyalist
13048,14,4,1819.41,3,4,4,434,Loyal
13049,64,2,656.6800000000001,3,2,3,233,Others
13050,15,17,5836.86,4,4,4,444,Champions
13052,212,1,348.15000000000003,2,1,2,122,Others
13055,78,3,1214.41,3,2,3,233,Others
13058,25,3,271.40000000000003,3,3,2,332,Potential Loyalist
13059,250,1,183.4,2,1,2,122,Others
13060,254,1,307.53000000000003,2,1,2,122,Others
13061,72,1,248.61,2,2,2,222,Others
13062,191,1,346.98,2,1,2,122,Others
13064,13,4,1105.59,3,4,3,433,Loyal
13065,373,1,205.86,2,1,2,122,Others
13066,24,2,470.8,3,3,2,332,Potential Loyalist
13067,82,1,115.46,2,2,2,222,Others
13068,10,2,344.0,3,4,2,432,Loyal
13069,1,24,4431.44,4,4,4,444,Champions
13070,192,1,228.8,2,1,2,122,Others
13072,267,1,177.15,2,1,2,122,Others
13075,130,1,919.61,2,2,3,223,Others
13077,1,4,728.02,3,4,3,433,Loyal
13078,3,26,12627.94,4,4,4,444,Champions
13079,4,5,220.1,4,4,2,442,Loyal
13080,179,1,58.08,2,1,1,121,Others
13081,12,11,28337.38,4,4,4,444,Champions
13082,126,9,3613.63,4,2,4,244,Others
13083,4,2,303.75,3,4,2,432,Loyal
13085,158,2,416.08,3,1,2,132,Others
13089,3,97,58762.08,4,4,4,444,Champions
13090,9,14,8910.82,4,4,4,444,Champions
13091,28,1,345.82,2,3,2,322,Others
13092,71,5,477.83,4,2,2,242,Others
13093,276,8,7832.47,4,1,4,144,At-Risk
13094,21,12,1927.32,4,3,4,344,Potential Loyalist
